Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
750-67-8428;A;Yangon;Member;Female;Health and beauty;74.69;7;26.1415;548.9715;1/5/2019;13:08;Ewallet;522.83;4.7619047619999995;26.1415;9.1
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;15.28;5;3.82;80.22;3/8/2019;10:29;Cash;76.4;4.7619047619999995;3.82;9.6
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;46.33;7;16.2155;340.5255;3/3/2019;13:23;Credit card;324.31;4.7619047619999995;16.2155;7.4
123-19-1176;A;Yangon;Member;Male;Health and beauty;58.22;8;23.288;489.048;1/27/2019;20:33;Ewallet;465.76;4.7619047619999995;23.288;8.4
373-73-7910;A;Yangon;Normal;Male;Sports and travel;86.31;7;30.2085;634.3785;2/8/2019;10:37;Ewallet;604.17;4.7619047619999995;30.2085;5.3
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;85.39;7;29.8865;627.6165;3/25/2019;18:30;Ewallet;597.73;4.7619047619999995;29.8865;4.1
355-53-5943;A;Yangon;Member;Female;Electronic accessories;68.84;6;20.651999999999997;433.69199999999995;2/25/2019;14:36;Ewallet;413.04;4.7619047619999995;20.651999999999997;5.8
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;73.56;10;36.78;772.38;2/24/2019;11:38;Ewallet;735.6;4.7619047619999995;36.78;8.0
665-32-9167;A;Yangon;Member;Female;Health and beauty;36.26;2;3.6260000000000003;76.146;1/10/2019;17:15;Credit card;72.52;4.7619047619999995;3.6260000000000003;7.2
692-92-5582;B;Mandalay;Member;Female;Food and beverages;54.84;3;8.226;172.74599999999998;2/20/2019;13:27;Credit card;164.52;4.7619047619999995;8.226;5.9
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;14.48;4;2.8960000000000004;60.816;2/6/2019;18:07;Ewallet;57.92;4.7619047619999995;2.8960000000000004;4.5
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;25.51;4;5.102;107.14200000000001;3/9/2019;17:03;Cash;102.04;4.7619047619999995;5.102;6.8
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;46.95;5;11.7375;246.4875;2/12/2019;10:25;Ewallet;234.75;4.7619047619999995;11.7375;7.1
252-56-2699;A;Yangon;Normal;Male;Food and beverages;43.19;10;21.595;453.495;2/7/2019;16:48;Ewallet;431.9;4.7619047619999995;21.595;8.2
829-34-3910;A;Yangon;Normal;Female;Health and beauty;71.38;10;35.69;749.49;3/29/2019;19:21;Cash;713.8;4.7619047619999995;35.69;5.7
299-46-1805;B;Mandalay;Member;Female;Sports and travel;93.72;6;28.116;590.436;1/15/2019;16:19;Cash;562.32;4.7619047619999995;28.116;4.5
656-95-9349;A;Yangon;Member;Female;Health and beauty;68.93;7;24.1255;506.6355;3/11/2019;11:03;Credit card;482.51;4.7619047619999995;24.1255;4.6
765-26-6951;A;Yangon;Normal;Male;Sports and travel;72.61;6;21.783;457.44300000000004;1/1/2019;10:39;Credit card;435.66;4.7619047619999995;21.783;6.9
329-62-1586;A;Yangon;Normal;Male;Food and beverages;54.67;3;8.2005;172.2105;1/21/2019;18:00;Credit card;164.01;4.7619047619999995;8.2005;8.6
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;40.3;2;4.03;84.63;3/11/2019;15:30;Ewallet;80.6;4.7619047619999995;4.03;4.4
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;86.04;5;21.51;451.71;2/25/2019;11:24;Ewallet;430.2;4.7619047619999995;21.51;4.8
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;87.98;3;13.197000000000001;277.137;3/5/2019;10:40;Ewallet;263.94;4.7619047619999995;13.197000000000001;5.1
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;33.2;2;3.32;69.72;3/15/2019;12:20;Credit card;66.4;4.7619047619999995;3.32;4.4
636-48-8204;A;Yangon;Normal;Male;Electronic accessories;34.56;5;8.64;181.44;2/17/2019;11:15;Ewallet;172.8;4.7619047619999995;8.64;9.9
549-59-1358;A;Yangon;Member;Male;Sports and travel;88.63;3;13.2945;279.1845;3/2/2019;17:36;Ewallet;265.89;4.7619047619999995;13.2945;6.0
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;52.59;8;21.035999999999998;441.756;3/22/2019;19:20;Credit card;420.72;4.7619047619999995;21.035999999999998;8.5
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;33.52;1;1.676;35.196;2/8/2019;15:31;Cash;33.52;4.7619047619999995;1.676;6.7
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;87.67;2;8.767000000000001;184.107;3/10/2019;12:17;Credit card;175.34;4.7619047619999995;8.767000000000001;7.7
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;88.36;5;22.09;463.89;1/25/2019;19:48;Cash;441.8;4.7619047619999995;22.09;9.6
848-62-7243;A;Yangon;Normal;Male;Health and beauty;24.89;9;11.2005;235.2105;3/15/2019;15:36;Cash;224.01;4.7619047619999995;11.2005;7.4
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;94.13;5;23.5325;494.1825;2/25/2019;19:39;Credit card;470.65;4.7619047619999995;23.5325;4.8
149-71-6266;B;Mandalay;Member;Male;Sports and travel;78.07;9;35.1315;737.7615;1/28/2019;12:43;Cash;702.63;4.7619047619999995;35.1315;4.5
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;83.78;8;33.512;703.752;1/10/2019;14:49;Cash;670.24;4.7619047619999995;33.512;5.1
595-11-5460;A;Yangon;Normal;Male;Health and beauty;96.58;2;9.658;202.81799999999998;3/15/2019;10:12;Credit card;193.16;4.7619047619999995;9.658;5.1
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;99.42;4;19.884;417.564;2/6/2019;10:42;Ewallet;397.68;4.7619047619999995;19.884;7.5
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;68.12;1;3.406;71.52600000000001;1/7/2019;12:28;Ewallet;68.12;4.7619047619999995;3.406;6.8
129-29-8530;A;Yangon;Member;Male;Sports and travel;62.62;5;15.655;328.755;3/10/2019;19:15;Ewallet;313.1;4.7619047619999995;15.655;7.0
272-65-1806;A;Yangon;Normal;Female;Electronic accessories;60.88;9;27.396;575.316;1/15/2019;17:17;Ewallet;547.92;4.7619047619999995;27.396;4.7
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;54.92;8;21.968000000000004;461.32800000000003;3/23/2019;13:24;Ewallet;439.36;4.7619047619999995;21.968000000000004;7.6
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;30.12;8;12.048;253.00799999999998;3/3/2019;13:01;Cash;240.96;4.7619047619999995;12.048;7.7
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;86.72;1;4.336;91.056;1/17/2019;18:45;Ewallet;86.72;4.7619047619999995;4.336;7.9
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;56.11;2;5.611000000000001;117.831;2/2/2019;10:11;Cash;112.22;4.7619047619999995;5.611000000000001;6.3
354-25-5821;B;Mandalay;Member;Female;Sports and travel;69.12;6;20.736;435.45599999999996;2/8/2019;13:03;Cash;414.72;4.7619047619999995;20.736;5.6
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;98.7;8;39.48;829.08;3/4/2019;20:39;Cash;789.6;4.7619047619999995;39.48;7.6
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;15.37;2;1.537;32.277;3/16/2019;19:47;Cash;30.74;4.7619047619999995;1.537;7.2
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;93.96;4;18.792;394.63199999999995;3/9/2019;18:00;Cash;375.84;4.7619047619999995;18.792;9.5
370-41-7321;B;Mandalay;Member;Male;Health and beauty;56.69;9;25.5105;535.7205;2/27/2019;17:24;Credit card;510.21;4.7619047619999995;25.5105;8.4
727-46-3608;B;Mandalay;Member;Female;Food and beverages;20.01;9;9.0045;189.0945;2/6/2019;15:47;Ewallet;180.09;4.7619047619999995;9.0045;4.1
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;18.93;6;5.678999999999999;119.259;2/10/2019;12:45;Credit card;113.58;4.7619047619999995;5.678999999999999;8.1
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;82.63;10;41.315;867.615;3/19/2019;17:08;Ewallet;826.3;4.7619047619999995;41.315;7.9
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;91.4;7;31.99;671.79;2/3/2019;10:19;Cash;639.8;4.7619047619999995;31.99;9.5
162-48-8011;A;Yangon;Member;Female;Food and beverages;44.59;5;11.1475;234.0975;2/10/2019;15:10;Cash;222.95;4.7619047619999995;11.1475;8.5
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;17.87;4;3.574;75.054;3/22/2019;14:42;Ewallet;71.48;4.7619047619999995;3.574;6.5
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;15.43;1;0.7715;16.2015;1/25/2019;15:46;Credit card;15.43;4.7619047619999995;0.7715;6.1
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;16.16;2;1.6159999999999999;33.936;3/7/2019;11:49;Ewallet;32.32;4.7619047619999995;1.6159999999999999;6.5
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;85.98;8;34.391999999999996;722.232;2/28/2019;19:01;Cash;687.84;4.7619047619999995;34.391999999999996;8.2
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;44.34;2;4.434;93.11399999999999;3/27/2019;11:26;Cash;88.68;4.7619047619999995;4.434;5.8
635-40-6220;A;Yangon;Normal;Male;Health and beauty;89.6;8;35.84;752.64;2/7/2019;11:28;Ewallet;716.8;4.7619047619999995;35.84;6.6
817-48-8732;A;Yangon;Member;Female;Home and lifestyle;72.35;10;36.175;759.675;1/20/2019;15:55;Cash;723.5;4.7619047619999995;36.175;5.4
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30.61;6;9.183;192.843;3/12/2019;20:36;Cash;183.66;4.7619047619999995;9.183;9.3
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;24.74;3;3.7110000000000003;77.931;2/15/2019;17:47;Credit card;74.22;4.7619047619999995;3.7110000000000003;10.0
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;55.73;6;16.719;351.099;2/24/2019;10:55;Ewallet;334.38;4.7619047619999995;16.719;7.0
347-34-2234;B;Mandalay;Member;Female;Sports and travel;55.07;9;24.7815;520.4115;2/3/2019;13:40;Ewallet;495.63;4.7619047619999995;24.7815;10.0
199-75-8169;A;Yangon;Member;Male;Sports and travel;15.81;10;7.905;166.005;3/6/2019;12:27;Credit card;158.1;4.7619047619999995;7.905;8.6
853-23-2453;B;Mandalay;Member;Male;Health and beauty;75.74;4;15.148;318.108;2/14/2019;14:35;Cash;302.96;4.7619047619999995;15.148;7.6
877-22-3308;A;Yangon;Member;Male;Health and beauty;15.87;10;7.935;166.635;3/13/2019;16:40;Cash;158.7;4.7619047619999995;7.935;5.8
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;33.47;2;3.347;70.28699999999999;2/10/2019;15:43;Ewallet;66.94;4.7619047619999995;3.347;6.7
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;97.61;6;29.283;614.943;1/7/2019;15:01;Ewallet;585.66;4.7619047619999995;29.283;9.9
232-11-3025;A;Yangon;Normal;Male;Sports and travel;78.77;10;39.385;827.085;1/24/2019;10:04;Cash;787.7;4.7619047619999995;39.385;6.4
382-03-4532;A;Yangon;Member;Female;Health and beauty;18.33;1;0.9165;19.2465;2/2/2019;18:50;Cash;18.33;4.7619047619999995;0.9165;4.3
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;89.48;10;44.74;939.54;1/6/2019;12:46;Credit card;894.8;4.7619047619999995;44.74;9.6
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;62.12;10;31.06;652.26;2/11/2019;16:19;Cash;621.2;4.7619047619999995;31.06;5.9
510-95-6347;B;Mandalay;Member;Female;Food and beverages;48.52;3;7.278;152.838;3/5/2019;18:17;Ewallet;145.56;4.7619047619999995;7.278;4.0
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;75.91;6;22.773000000000003;478.233;3/9/2019;18:21;Cash;455.46;4.7619047619999995;22.773000000000003;8.7
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;74.67;9;33.6015;705.6315;1/22/2019;10:55;Ewallet;672.03;4.7619047619999995;33.6015;9.4
