Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;verificador
750-67-8428;A;Yangon;Socio;Femenino;Salud y belleza;74.69;7;26.1415;548.9715;05/01/2019;13:08;Billetera Electrónica;522.83;4.761904762;26.1415;9.1;True
226-31-3081;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;15.28;5;3.82;80.22;08/03/2019;10:29;Efectivo;76.4;4.761904762;3.82;9.6;True
631-41-3108;A;Yangon;Normal;Masculino;Hogar y estilo de vida;46.33;7;16.2155;340.5255;03/03/2019;13:23;Tarjeta de Crédito;324.31;4.761904762;16.2155;7.4;True
123-19-1176;A;Yangon;Socio;Masculino;Salud y belleza;58.22;8;23.288;489.048;27/01/2019;20:33;Billetera Electrónica;465.76;4.761904762;23.288;8.4;True
373-73-7910;A;Yangon;Normal;Masculino;Deportes y viajes;86.31;7;30.2085;634.3785;08/02/2019;10:37;Billetera Electrónica;604.17;4.761904762;30.2085;5.3;True
699-14-3026;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;85.39;7;29.8865;627.6165;25/03/2019;18:30;Billetera Electrónica;597.73;4.761904762;29.8865;4.1;True
355-53-5943;A;Yangon;Socio;Femenino;Accesorios electrónicos;68.84;6;20.652;433.692;25/02/2019;14:36;Billetera Electrónica;413.04;4.761904762;20.652;5.8;True
315-22-5665;C;Naypyitaw;Normal;Femenino;Hogar y estilo de vida;73.56;10;36.78;772.38;24/02/2019;11:38;Billetera Electrónica;735.6;4.761904762;36.78;8.0;True
665-32-9167;A;Yangon;Socio;Femenino;Salud y belleza;36.26;2;3.626;76.146;10/01/2019;17:15;Tarjeta de Crédito;72.52;4.761904762;3.626;7.2;True
692-92-5582;B;Mandalay;Socio;Femenino;Alimentos y bebidas;54.84;3;8.226;172.74599999999998;20/02/2019;13:27;Tarjeta de Crédito;164.52;4.761904762;8.226;5.9;True
351-62-0822;B;Mandalay;Socio;Femenino;Complementos de moda;14.48;4;2.8960000000000004;60.816;06/02/2019;18:07;Billetera Electrónica;57.92;4.761904762;2.8960000000000004;4.5;True
529-56-3974;B;Mandalay;Socio;Masculino;Accesorios electrónicos;25.51;4;5.102;107.142;09/03/2019;17:03;Efectivo;102.04;4.761904762;5.102;6.8;True
365-64-0515;A;Yangon;Normal;Femenino;Accesorios electrónicos;46.95;5;11.7375;246.4875;12/02/2019;10:25;Billetera Electrónica;234.75;4.761904762;11.7375;7.1;True
252-56-2699;A;Yangon;Normal;Masculino;Alimentos y bebidas;43.19;10;21.595;453.495;07/02/2019;16:48;Billetera Electrónica;431.9;4.761904762;21.595;8.2;True
829-34-3910;A;Yangon;Normal;Femenino;Salud y belleza;71.38;10;35.69;749.49;29/03/2019;19:21;Efectivo;713.8;4.761904762;35.69;5.7;True
299-46-1805;B;Mandalay;Socio;Femenino;Deportes y viajes;93.72;6;28.116;590.436;15/01/2019;16:19;Efectivo;562.32;4.761904762;28.116;4.5;True
656-95-9349;A;Yangon;Socio;Femenino;Salud y belleza;68.93;7;24.1255;506.6355;11/03/2019;11:03;Tarjeta de Crédito;482.51;4.761904762;24.1255;4.6;True
765-26-6951;A;Yangon;Normal;Masculino;Deportes y viajes;72.61;6;21.783;457.443;01/01/2019;10:39;Tarjeta de Crédito;435.66;4.761904762;21.783;6.9;True
329-62-1586;A;Yangon;Normal;Masculino;Alimentos y bebidas;54.67;3;8.2005;172.2105;21/01/2019;18:00;Tarjeta de Crédito;164.01;4.761904762;8.2005;8.6;True
319-50-3348;B;Mandalay;Normal;Femenino;Hogar y estilo de vida;40.3;2;4.03;84.63;11/03/2019;15:30;Billetera Electrónica;80.6;4.761904762;4.03;4.4;True
300-71-4605;C;Naypyitaw;Socio;Masculino;Accesorios electrónicos;86.04;5;21.51;451.71;25/02/2019;11:24;Billetera Electrónica;430.2;4.761904762;21.51;4.8;True
371-85-5789;B;Mandalay;Normal;Masculino;Salud y belleza;87.98;3;13.197;277.137;05/03/2019;10:40;Billetera Electrónica;263.94;4.761904762;13.197;5.1;True
273-16-6619;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;33.2;2;3.32;69.72;15/03/2019;12:20;Tarjeta de Crédito;66.4;4.761904762;3.32;4.4;True
636-48-8204;A;Yangon;Normal;Masculino;Accesorios electrónicos;34.56;5;8.64;181.44;17/02/2019;11:15;Billetera Electrónica;172.8;4.761904762;8.64;9.9;True
549-59-1358;A;Yangon;Socio;Masculino;Deportes y viajes;88.63;3;13.2945;279.1845;02/03/2019;17:36;Billetera Electrónica;265.89;4.761904762;13.2945;6.0;True
227-03-5010;A;Yangon;Socio;Femenino;Hogar y estilo de vida;52.59;8;21.036;441.756;22/03/2019;19:20;Tarjeta de Crédito;420.72;4.761904762;21.036;8.5;True
649-29-6775;B;Mandalay;Normal;Masculino;Complementos de moda;33.52;1;1.676;35.196;08/02/2019;15:31;Efectivo;33.52;4.761904762;1.676;6.7;True
189-17-4241;A;Yangon;Normal;Femenino;Complementos de moda;87.67;2;8.767000000000001;184.107;10/03/2019;12:17;Tarjeta de Crédito;175.34;4.761904762;8.767000000000001;7.7;True
145-94-9061;B;Mandalay;Normal;Femenino;Alimentos y bebidas;88.36;5;22.09;463.89;25/01/2019;19:48;Efectivo;441.8;4.761904762;22.09;9.6;True
848-62-7243;A;Yangon;Normal;Masculino;Salud y belleza;24.89;9;11.2005;235.2105;15/03/2019;15:36;Efectivo;224.01;4.761904762;11.2005;7.4;True
871-79-8483;B;Mandalay;Normal;Masculino;Complementos de moda;94.13;5;23.5325;494.1825;25/02/2019;19:39;Tarjeta de Crédito;470.65;4.761904762;23.5325;4.8;True
149-71-6266;B;Mandalay;Socio;Masculino;Deportes y viajes;78.07;9;35.1315;737.7615;28/01/2019;12:43;Efectivo;702.63;4.761904762;35.1315;4.5;True
640-49-2076;B;Mandalay;Normal;Masculino;Deportes y viajes;83.78;8;33.512;703.752;10/01/2019;14:49;Efectivo;670.24;4.761904762;33.512;5.1;True
595-11-5460;A;Yangon;Normal;Masculino;Salud y belleza;96.58;2;9.658;202.818;15/03/2019;10:12;Tarjeta de Crédito;193.16;4.761904762;9.658;5.1;True
183-56-6882;C;Naypyitaw;Socio;Femenino;Alimentos y bebidas;99.42;4;19.884;417.564;06/02/2019;10:42;Billetera Electrónica;397.68;4.761904762;19.884;7.5;True
232-16-2483;C;Naypyitaw;Socio;Femenino;Deportes y viajes;68.12;1;3.406;71.52600000000001;07/01/2019;12:28;Billetera Electrónica;68.12;4.761904762;3.406;6.8;True
129-29-8530;A;Yangon;Socio;Masculino;Deportes y viajes;62.62;5;15.655;328.755;10/03/2019;19:15;Billetera Electrónica;313.1;4.761904762;15.655;7.0;True
272-65-1806;A;Yangon;Normal;Femenino;Accesorios electrónicos;60.88;9;27.396;575.316;15/01/2019;17:17;Billetera Electrónica;547.92;4.761904762;27.396;4.7;True
333-73-7901;C;Naypyitaw;Normal;Femenino;Salud y belleza;54.92;8;21.968000000000004;461.328;23/03/2019;13:24;Billetera Electrónica;439.36;4.761904762;21.968000000000004;7.6;True
777-82-7220;B;Mandalay;Socio;Masculino;Hogar y estilo de vida;30.12;8;12.048;253.008;03/03/2019;13:01;Efectivo;240.96;4.761904762;12.048;7.7;True
280-35-5823;B;Mandalay;Socio;Femenino;Hogar y estilo de vida;86.72;1;4.336;91.056;17/01/2019;18:45;Billetera Electrónica;86.72;4.761904762;4.336;7.9;True
554-53-8700;C;Naypyitaw;Socio;Masculino;Hogar y estilo de vida;56.11;2;5.611000000000001;117.831;02/02/2019;10:11;Efectivo;112.22;4.761904762;5.611000000000001;6.3;True
354-25-5821;B;Mandalay;Socio;Femenino;Deportes y viajes;69.12;6;20.736;435.456;08/02/2019;13:03;Efectivo;414.72;4.761904762;20.736;5.6;True
228-96-1411;C;Naypyitaw;Socio;Femenino;Alimentos y bebidas;98.7;8;39.48;829.08;04/03/2019;20:39;Efectivo;789.6;4.761904762;39.48;7.6;True
617-15-4209;C;Naypyitaw;Socio;Masculino;Salud y belleza;15.37;2;1.537;32.277;16/03/2019;19:47;Efectivo;30.74;4.761904762;1.537;7.2;True
132-32-9879;B;Mandalay;Socio;Femenino;Accesorios electrónicos;93.96;4;18.792;394.632;09/03/2019;18:00;Efectivo;375.84;4.761904762;18.792;9.5;True
370-41-7321;B;Mandalay;Socio;Masculino;Salud y belleza;56.69;9;25.5105;535.7205;27/02/2019;17:24;Tarjeta de Crédito;510.21;4.761904762;25.5105;8.4;True
727-46-3608;B;Mandalay;Socio;Femenino;Alimentos y bebidas;20.01;9;9.0045;189.0945;06/02/2019;15:47;Billetera Electrónica;180.09;4.761904762;9.0045;4.1;True
669-54-1719;B;Mandalay;Socio;Masculino;Accesorios electrónicos;18.93;6;5.678999999999999;119.259;10/02/2019;12:45;Tarjeta de Crédito;113.58;4.761904762;5.678999999999999;8.1;True
574-22-5561;C;Naypyitaw;Socio;Femenino;Complementos de moda;82.63;10;41.315;867.615;19/03/2019;17:08;Billetera Electrónica;826.3;4.761904762;41.315;7.9;True
326-78-5178;C;Naypyitaw;Socio;Masculino;Alimentos y bebidas;91.4;7;31.99;671.79;03/02/2019;10:19;Efectivo;639.8;4.761904762;31.99;9.5;True
162-48-8011;A;Yangon;Socio;Femenino;Alimentos y bebidas;44.59;5;11.1475;234.0975;10/02/2019;15:10;Efectivo;222.95;4.761904762;11.1475;8.5;True
616-24-2851;B;Mandalay;Socio;Femenino;Complementos de moda;17.87;4;3.574;75.054;22/03/2019;14:42;Billetera Electrónica;71.48;4.761904762;3.574;6.5;True
778-71-5554;C;Naypyitaw;Socio;Masculino;Complementos de moda;15.43;1;0.7715;16.2015;25/01/2019;15:46;Tarjeta de Crédito;15.43;4.761904762;0.7715;6.1;True
242-55-6721;B;Mandalay;Normal;Masculino;Hogar y estilo de vida;16.16;2;1.616;33.936;07/03/2019;11:49;Billetera Electrónica;32.32;4.761904762;1.616;6.5;True
399-46-5918;C;Naypyitaw;Normal;Femenino;Accesorios electrónicos;85.98;8;34.392;722.232;28/02/2019;19:01;Efectivo;687.84;4.761904762;34.392;8.2;True
106-35-6779;A;Yangon;Socio;Masculino;Hogar y estilo de vida;44.34;2;4.434;93.114;27/03/2019;11:26;Efectivo;88.68;4.761904762;4.434;5.8;True
635-40-6220;A;Yangon;Normal;Masculino;Salud y belleza;89.6;8;35.84;752.64;07/02/2019;11:28;Billetera Electrónica;716.8;4.761904762;35.84;6.6;True
817-48-8732;A;Yangon;Socio;Femenino;Hogar y estilo de vida;72.35;10;36.175;759.675;20/01/2019;15:55;Efectivo;723.5;4.761904762;36.175;5.4;True
120-06-4233;C;Naypyitaw;Normal;Masculino;Accesorios electrónicos;30.61;6;9.183;192.843;12/03/2019;20:36;Efectivo;183.66;4.761904762;9.183;9.3;True
285-68-5083;C;Naypyitaw;Socio;Femenino;Deportes y viajes;24.74;3;3.711;77.931;15/02/2019;17:47;Tarjeta de Crédito;74.22;4.761904762;3.711;10.0;True
803-83-5989;C;Naypyitaw;Normal;Masculino;Hogar y estilo de vida;55.73;6;16.719;351.099;24/02/2019;10:55;Billetera Electrónica;334.38;4.761904762;16.719;7.0;True
347-34-2234;B;Mandalay;Socio;Femenino;Deportes y viajes;55.07;9;24.7815;520.4115;03/02/2019;13:40;Billetera Electrónica;495.63;4.761904762;24.7815;10.0;True
199-75-8169;A;Yangon;Socio;Masculino;Deportes y viajes;15.81;10;7.905;166.005;06/03/2019;12:27;Tarjeta de Crédito;158.1;4.761904762;7.905;8.6;True
853-23-2453;B;Mandalay;Socio;Masculino;Salud y belleza;75.74;4;15.148;318.108;14/02/2019;14:35;Efectivo;302.96;4.761904762;15.148;7.6;True
877-22-3308;A;Yangon;Socio;Masculino;Salud y belleza;15.87;10;7.935;166.635;13/03/2019;16:40;Efectivo;158.7;4.761904762;7.935;5.8;True
838-78-4295;C;Naypyitaw;Normal;Femenino;Salud y belleza;33.47;2;3.347;70.28699999999999;10/02/2019;15:43;Billetera Electrónica;66.94;4.761904762;3.347;6.7;True
109-28-2512;B;Mandalay;Socio;Femenino;Complementos de moda;97.61;6;29.283;614.943;07/01/2019;15:01;Billetera Electrónica;585.66;4.761904762;29.283;9.9;True
232-11-3025;A;Yangon;Normal;Masculino;Deportes y viajes;78.77;10;39.385;827.085;24/01/2019;10:04;Efectivo;787.7;4.761904762;39.385;6.4;True
